Global Volcanism Program - Volcanoes of the World 5.0.2,,,,Downloaded on 26 Feb 2023 at 12:19 AM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
352080,Tungurahua,22215,Confirmed Eruption,Summit crater,3,,,2011,,11,,27,,Observations: Reported,,2016,,3,,16,,-1.467,-78.442
223020,Nyamulagira,20801,Confirmed Eruption,NW flank,2,,,2011,,11,,6,,Observations: Reported,,2012,,3,?,16,,-1.408,29.2
358057,"Hudson, Cerro",20770,Confirmed Eruption,S and SE edge of the caldera,2,,,2011,,10,,26,,Observations: Reported,,2011,,11,,1,,-45.9,-72.97
345020,Rincon de la Vieja,20812,Confirmed Eruption,Crater lake,1,,,2011,,8,,22,,Observations: Reported,,2011,,9,,27,,10.83,-85.324
344020,San Cristobal,10898,Confirmed Eruption,Summit crater,1,,,2011,,8,?,21,,Observations: Reported,,2011,,10,,23,,12.702,-87.004
261140,Marapi,20795,Confirmed Eruption,Summit Crater,2,,,2011,,8,,3,,Observations: Reported,,2011,,10,,12,,-0.38,100.474
311240,Cleveland,20758,Confirmed Eruption,Summit crater,2,,,2011,,7,,19,7,Observations: Reported,,2015,,8,,18,,52.825,-169.944
266030,Soputan,20820,Confirmed Eruption,Summit crater and flank,3,,,2011,,7,,3,,Observations: Reported,,2011,,8,,15,,1.112,124.737
266100,Lokon-Empung,20793,Confirmed Eruption,Tompaluan,2,,,2011,,6,,26,,Observations: Reported,,2012,,5,,2,,1.358,124.792
221101,Nabro,20800,Confirmed Eruption,Summit crater and NW flank,4,,,2011,,6,,13,,Observations: Reported,,2012,,6,?,3,,13.37,41.7
352090,Sangay,22234,Confirmed Eruption,Summit crater complex,2,,,2011,,6,,6,,Observations: Reported,,2012,,9,,19,,-2.005,-78.341
357150,Puyehue-Cordon Caulle,20809,Confirmed Eruption,"Cordón Caulle, N of the 1960 eruption fissure",5,,,2011,,6,,4,,Observations: Reported,,2012,,4,?,21,,-40.59,-72.117
373010,Grimsvotn,20767,Confirmed Eruption,SW part of the caldera,4,,,2011,,5,,21,,Observations: Reported,,2011,,5,,28,,64.416,-17.316
242050,Monowai,22464,Confirmed Eruption,Summit Crater,0,,,2011,,5,,17,,Observations: Hydrophonic,,2011,,5,,22,,-25.887,-177.188
263300,Semeru,22219,Confirmed Eruption,Jonggring Seloko,2,,,2011,,5,,13,,Observations: Reported,,2012,,7,?,20,,-8.108,112.922
284170,Pagan,20803,Confirmed Eruption,North Pagan,2,,,2011,,4,?,23,,Observations: Reported,,2011,,9,?,1,,18.13,145.8
352080,Tungurahua,22214,Confirmed Eruption,Summit crater,2,,,2011,,4,,20,,Observations: Reported,,2011,,5,,26,,-1.467,-78.442
263250,Merapi,22488,Confirmed Eruption,Summit crater,1,,,2011,,3,,25,,Observations: Photo / Video,,2011,,9,,8,,-7.54,110.446
267020,Karangetang,20775,Confirmed Eruption,Crater I (S crater),2,,,2011,,3,,11,,Observations: Reported,,2011,,8,,13,,2.781,125.407
344040,Telica,20823,Confirmed Eruption,Southern crater,2,,,2011,,3,,7,,Observations: Reported,,2011,,6,,14,,12.606,-86.84
266100,Lokon-Empung,20792,Confirmed Eruption,Tompaluan,1,,,2011,,2,,22,,Observations: Reported,,2011,,2,,22,,1.358,124.792
357040,Planchon-Peteroa,20808,Confirmed Eruption,Peteroa,2,,,2011,,2,,17,,Observations: Reported,,2011,,6,,26,1,-35.223,-70.568
345070,Turrialba,20829,Confirmed Eruption,,1,,,2011,,1,,14,,Observations: Reported,,2011,,1,,14,,10.025,-83.767
221041,Dallol,20939,Confirmed Eruption,Dallol crater,0,,,2011,,1,,4,3,Observations: Reported,,2011,,1,,4,3,14.242,40.3
263310,Tengger Caldera,16064,Confirmed Eruption,Bromo,3,?,,2010,,11,,26,,Observations: Reported,,2011,,6,,13,,-7.942,112.95
352080,Tungurahua,11645,Confirmed Eruption,Summit crater,3,?,,2010,,11,,22,,Observations: Reported,,2011,,1,,2,,-1.467,-78.442
273010,Bulusan,16772,Confirmed Eruption,Summit crater,2,,,2010,,11,,6,,Observations: Reported,,2011,,5,,13,,12.769,124.056
262000,Krakatau,15634,Confirmed Eruption,Anak Krakatau,2,,,2010,,10,?,25,,Observations: Reported,,2012,,9,,9,1,-6.102,105.423
263250,Merapi,15925,Confirmed Eruption,Summit crater,4,,,2010,,10,,23,,Observations: Reported,,2010,,11,,29,,-7.54,110.446
233020,"Fournaise, Piton de la",14392,Confirmed Eruption,"Fissure near Château Fort crater, 1.5 km SE of Dolomieu crater rim",0,,,2010,,10,,14,,Observations: Reported,,2010,,12,,10,,-21.244,55.708
357040,Planchon-Peteroa,11947,Confirmed Eruption,Peteroa,2,,,2010,,9,,6,,Observations: Reported,,2010,,10,,13,,-35.223,-70.568
261080,Sinabung,15404,Confirmed Eruption,Summit crater,3,,,2010,,8,,27,,Observations: Reported,,2010,,9,?,18,,3.17,98.392
351080,Galeras,11381,Confirmed Eruption,Central cone,1,,,2010,,8,,25,,Observations: Reported,,2010,,8,,25,,1.22,-77.37
267020,Karangetang,16544,Confirmed Eruption,Crater I (S crater),3,?,,2010,,8,,6,,Observations: Reported,,2010,,12,?,16,15,2.781,125.407
344020,San Cristobal,10897,Confirmed Eruption,Summit crater,2,,,2010,,6,,9,,Observations: Reported,,2011,,1,,13,,12.702,-87.004
311240,Cleveland,19819,Confirmed Eruption,Summit crater,2,,,2010,,5,,30,,Observations: Reported,,2010,,6,?,2,,52.825,-169.944
284193,South Sarigan Seamount,18529,Confirmed Eruption,"Northern summit cone, 184 m below sea level",3,?,,2010,,5,,27,,Observations: Reported,,2010,,5,,29,,16.58,145.78
284170,Pagan,18524,Confirmed Eruption,North Pagan,1,,,2010,,5,,3,,Observations: Reported,,2010,,8,,11,,18.13,145.8
372020,Eyjafjallajokull,12563,Confirmed Eruption,ENE flank (Fimmvörduháls) and summit,4,,,2010,,3,,20,,Observations: Reported,,2010,,6,,23,,63.633,-19.633
263300,Semeru,22218,Confirmed Eruption,Jonggring Seloko,2,,,2010,,1,,5,,Observations: Reported,,2010,,11,,29,,-8.108,112.922
345070,Turrialba,11247,Confirmed Eruption,SW crater,2,,,2010,,1,,5,,Observations: Reported,,2010,,3,?,7,,10.025,-83.767
223020,Nyamulagira,14085,Confirmed Eruption,Summit caldera and SSE flank,1,?,,2010,,1,,2,,Observations: Reported,,2010,,1,,29,,-1.408,29.2
352080,Tungurahua,11644,Confirmed Eruption,Summit crater,3,,,2010,,1,,1,,Observations: Reported,,2010,,7,,29,,-1.467,-78.442
344120,Concepcion,11080,Confirmed Eruption,,1,,,2009,,12,,11,,Observations: Reported,,2011,,3,,12,,11.538,-85.622
357120,Villarrica,12184,Confirmed Eruption,,1,,,2009,,11,,22,,Observations: Reported,,2012,,4,,20,,-39.42,-71.93
345040,Poas,11193,Confirmed Eruption,,1,,,2009,,11,,16,15,Observations: Reported,,2014,,10,,13,,10.2,-84.233
233020,"Fournaise, Piton de la",14391,Confirmed Eruption,"S part of Dolomieu crater, SE and E flanks of Dolomieu cone",1,?,,2009,,11,,5,,Observations: Reported,,2010,,1,,12,,-21.244,55.708
311240,Cleveland,19828,Confirmed Eruption,,2,,,2009,,10,,2,,Observations: Reported,,2009,,12,?,12,,52.825,-169.944
263200,Dieng Volcanic Complex,15793,Confirmed Eruption,Sileri Crater,1,,,2009,,9,,27,,Observations: Reported,,2009,,9,,27,,-7.2,109.879
273030,Mayon,16819,Confirmed Eruption,,2,,,2009,,9,,15,,Observations: Reported,,2010,,1,?,1,,13.257,123.685
344020,San Cristobal,10896,Confirmed Eruption,,2,?,,2009,,9,,6,,Observations: Reported,,2009,,12,?,26,,12.702,-87.004
221115,Manda Hararo,13944,Confirmed Eruption,,2,?,,2009,,6,,28,,Observations: Reported,,2009,,7,?,1,,12.17,40.82
311240,Cleveland,19827,Confirmed Eruption,,2,,,2009,,6,,25,,Observations: Reported,,2009,,6,,25,,52.825,-169.944
242050,Monowai,22197,Confirmed Eruption,,0,,,2009,,5,,4,3,Observations: Hydrophonic,,2009,,12,,16,4,-25.887,-177.188
264030,Rinjani,16227,Confirmed Eruption,NE flank of Gunung Barujari,2,,,2009,,5,,2,,Observations: Reported,,2010,,5,,23,,-8.42,116.47
263180,Slamet,15765,Confirmed Eruption,,1,,,2009,,4,,21,,Observations: Reported,,2009,,6,?,22,,-7.242,109.208
353010,Fernandina,11677,Confirmed Eruption,SW flank (400 m),2,,,2009,,4,,10,,Observations: Reported,,2009,,4,?,28,,-0.37,-91.55
261170,Kerinci,15533,Confirmed Eruption,,1,,,2009,,4,?,1,,Observations: Reported,,2009,,6,?,19,,-1.697,101.264
262000,Krakatau,15633,Confirmed Eruption,Anak Krakatau,2,,,2009,,3,?,25,,Observations: Reported,,2009,,9,?,16,15,-6.102,105.423
243040,Hunga Tonga-Hunga Ha'apai,14733,Confirmed Eruption,Hunga Ha'apai,2,,,2009,,3,?,17,,Observations: Reported,,2009,,3,,22,1,-20.536,-175.382
313030,Redoubt,20391,Confirmed Eruption,South of 1990 dome,3,,,2009,,3,,15,,Observations: Reported,,2009,,7,,1,30,60.485,-152.742
357120,Villarrica,12183,Confirmed Eruption,,1,,,2009,,1,,29,,Observations: Reported,,2009,,3,?,24,,-39.42,-71.93
263200,Dieng Volcanic Complex,15792,Confirmed Eruption,Sibanteng crater,1,,,2009,,1,,15,,Observations: Reported,,2009,,1,,15,,-7.2,109.879
345040,Poas,11192,Confirmed Eruption,,1,,,2009,,1,,12,,Observations: Reported,,2009,,3,?,21,,10.2,-84.233
311240,Cleveland,19826,Confirmed Eruption,,2,,,2009,,1,,2,,Observations: Reported,,2009,,1,,21,,52.825,-169.944
261230,Dempo,15575,Confirmed Eruption,,1,?,,2009,,1,,1,,Observations: Reported,,2009,,1,,1,,-4.016,103.121
267020,Karangetang,16543,Confirmed Eruption,,2,,,2008,,11,?,29,,Observations: Reported,,2010,,3,?,24,,2.781,125.407
344020,San Cristobal,10895,Confirmed Eruption,,1,,,2008,,11,,21,,Observations: Reported,,2008,,11,,21,,12.702,-87.004
243120,Tafu-Maka,14799,Confirmed Eruption,Maka,0,,,2008,,11,?,16,15,Observations: Reported,,2008,,11,?,16,15,-15.37,-174.23
243130,West Mata,14800,Confirmed Eruption,Prometheus and Hades vents,0,,,2008,,11,<,16,15,Observations: Reported,,2009,,5,>,16,15,-15.1,-173.75
221060,Alu-Dalafilla,13927,Confirmed Eruption,W and NW of Dalaffilla,3,?,,2008,,11,,3,,Observations: Reported,,2008,,12,?,16,15,13.793,40.553
351050,"Huila, Nevado del",11314,Confirmed Eruption,Upper SW side of Pico Central,3,?,,2008,,10,?,26,,Observations: Reported,,2012,,1,?,14,,2.93,-76.03
357120,Villarrica,12182,Confirmed Eruption,,1,,,2008,,10,,26,,Observations: Reported,,,,,,,,-39.42,-71.93
